Hardware Type,Driver (LoRa),Driver (LoRaWAN),Language,Supported Devices,,
Pycom devices,"[LoRaMAC](https://docs.pycom.io/tutorials/lora/lora-mac/){:target=""_blank""}","[LoRaWAN-OTAA](https://docs.pycom.io/tutorials/lora/lorawan-otaa/){:target=""_blank""}",Micropython,"Fipy, LoPy",,
Arduino Based,"[Arduino RadioHead](https://www.airspayce.com/mikem/arduino/RadioHead/classRH__RF95.html){:target=""_blank""}","[Arduino LMIC](https://github.com/matthijskooijman/arduino-lmic){:target=""_blank""}",Arduino C,Arduino LoRa GPS Sheild,,
